wallet,credit_score,repay_to_borrow_ratio,liquidation_ratio,net_flow_usd,token_diversity,active_days,credit_tier
0x00000000000747d525e898424e8774f7eb317d00,25.22420537411066,0.0,0.0,10215744.588034926,2,417,Tier 3
0x000264a59eb575d2ede5f81f115c3c085118d69c,1.3501071948429317e-06,0.0,0.0,28.0,1,1,Tier 4
0x000872be5ec7dc8197ef6618ef507d9a449cac1a,15.246049503359771,0.0,0.0,0.7429332740000001,4,1,Tier 4
0x00236feeac26ef92552e3981096350d136084c64,0.01606917794429116,0.0,0.0,333260.19160463556,1,1,Tier 4
0x0026914210262825ceac1227963d4d903d4ddbe0,1.2660099820384476e-05,0.0,0.0,262.559,1,1,Tier 4
0x002816498f4e15235e06dfddff7abf18f0d7e43e,1.593680072439036e-09,0.0,0.0,0.0330514808,1,1,Tier 4
0x0031e8a20de1bdf04db2b145462c3dfc99ca7516,0.00024109057050766635,0.0,0.0,5000.0,1,1,Tier 4
0x004397a3573c77bdf6c422314e88cc0a805a7e71,0.016869969051248154,0.0,0.0,349867.87363199075,1,1,Tier 4
0x00448d20eea828ff9aeb964905da22241a309f40,0.007122333256515815,0.0,0.0,147710.73878,1,1,Tier 4
0x00457d2ddeb3c17ee89b4e8fbcec8571adc6496f,0.00015844717436102468,0.0,0.0,3286.0508403,1,1,Tier 4
0x0047b61922fff97d7c9fc698814cc287ee4bc1e6,1.9135180174171303e-07,0.0,0.0,3.968463,1,1,Tier 4
0x0055ae46f700bcc53b1b00483d64000d47007200,22.7338137888244,0.0,0.0,2649431.291235995,2,372,Tier 3
0x005fb56fe0401a4017e6f046272da922bbf8df06,0.043396302691379944,0.0,0.0,900000.0,1,1,Tier 4
0x005ff202c271d2419fb03ec873dedfe163a5ce36,0.00021913420248170215,0.0,0.0,4544.64482,1,1,Tier 4
0x00641ed1aae8a9700fd3fd4d899f2577d1ae6b22,22.564670281426626,0.0,0.0,922645.2389880761,4,155,Tier 4
0x0083d744c0949ad9091f236f33e7fb17e69c03ee,0.337494058611258,0.0,0.0,6999321.0,1,1,Tier 4
0x009d46f8c7e85049b8363d933700786a5f49157c,2.6482153678905326e-08,0.0,0.0,0.549215874,1,1,Tier 4
0x00b35e49de29b61fa3b0ad8d8be308543db89520,22.542428847293216,0.0,0.0,1218344.2899655574,1,477,Tier 3
0x00b3923c344ef9c3521bb7ed541882dba1cd693b,6.34016839887739e-08,0.0,0.0,1.314893482878,1,1,Tier 4
0x00b990ae4a4438a68db62daff29d4e7e94f4ad62,1.2678192094585102e-07,0.0,0.0,2.62934217375,1,1,Tier 4
0x00d29fbc981d05edba69bc0909e391a132271357,16.62770885689318,0.0,0.0,23228.942375057322,1,353,Tier 3
